text,favorite_count,date_creation,retweet_count
"@waitbutwhy Mind-blowing concept when you first hear it. 

There is arguably a practical maximum to digits of pi, which is the number required to divide the universe into cubes of Planck length.",5322,2023-04-25,382
"Censor not, lest ye be censored",154080,2023-04-25,16110
"@KanekoaTheGreat @DavidSacks Exactly right. If we lose freedom of speech, it’s never coming back.

Beware of censorship lest ye censored.",47640,2023-04-25,8423
"@unusual_whales Nice. Just me here @elonmusk too. If something dumb is said, it’s definitely me.",10300,2023-04-25,483
"@ErcXspace @SpaceX Gravity, gravity, 
time to escape 
that for me",5781,2023-04-24,377
Or maybe just X https://t.co/5nCtYbrPfN,60972,2023-04-24,6169
@SawyerMerritt @SpaceX @Tesla Yay!,5039,2023-04-24,238
@all_in_tok @DavidSacks @theallinpod Wow,1738,2023-04-24,109
@ispace_inc Stream on Twitter too!,3029,2023-04-25,285
@zerohedge So bizarre that people and companies don’t use money management (Treasury Bill) checking accounts and earn 4%!,7218,2023-04-25,638
@stillgray Really? 🤔,11166,2023-04-25,979
@_CryMiaRiver @krassenstein @ZubyMusic I repeat my statement that any parents or doctors who do this should go to prison for life,7666,2023-04-25,1255
@krassenstein @ZubyMusic Please correct if wrong @CommunityNotes,2247,2023-04-25,108
"@krassenstein @ZubyMusic Comprehensive study in Sweden shows *increased* suicide!

Death for sex-reassigned persons was higher than for controls of same birth sex, particularly death from suicide. They also had increased risk for suicide attempts and psychiatric inpatient care. 

https://t.co/hIakkEJvJb",8429,2023-04-25,2318
@zerohedge !,2572,2023-04-25,256
@zerohedge Age limit for sterilization by the state or parents too? Or is that too much to hope for.,27741,2023-04-25,3680
@SawyerMerritt @SpaceX @Tesla Yay!,5039,2023-04-24,238
"@krassenstein @ZubyMusic What research?

Every child goes through an identity crisis, but leaping to a permanent solution that sterilizes them for life before they could possibly consent for themselves is wrong. Plain and simple.",13143,2023-04-25,2200
"@TheRabbitHole84 We will do our best to support candidates from all parties, so that the public may make the most informed choice. 

Far too much back room dealing seems to be happening.",18044,2023-04-25,2551
@RobertKennedyJr You and other candidates deserve that opportunity!,33608,2023-04-25,2345
@TheBabylonBee 🤣,3113,2023-04-25,163
@tegmark Exactly,1610,2023-04-25,139
@cenkuygur Wow,11688,2023-04-25,629
"@ZubyMusic I agree. This is super messed up.

Mature, consenting adults should do as they wish, so long as they do not harm anyone else, but this child was too young for any kind of consent.",17603,2023-04-25,1820
@CathieDWood Are they simply looking at old data or ignoring the bad data that they have?,4359,2023-04-25,367
@eldsjal @Spotify Congrats!,2078,2023-04-25,152
@HSajwanization @SarwatNasir @HopeMarsMission Congrats UAE 🇦🇪!!,6846,2023-04-25,1006
@alvinfoo Midjourney,4062,2023-04-25,205
"@WallStreetSilv If you weaponize currency enough times, other countries will stop using it",33054,2023-04-25,4908
@CNNPR Interesting,3822,2023-04-25,232
@krassenstein Great points!,1717,2023-04-25,125
Verified accounts are now prioritized,223443,2023-04-25,15411
@johnhackerla That meme rings a bell,6082,2023-04-25,426
"Sometimes, when you learn about something, you think you have it",81359,2023-04-25,8176
@farzyness It’s been a while since had to intervene. 11.4 is good.,3651,2023-04-25,260
@SmashMemez @alx 🎯,2289,2023-04-25,134
"@Not_the_Bee I agree with assisted suicide if someone is a mature adult, but definitely not kids. 

There is a reason we have an age of consent.",26567,2023-04-25,1771
@shaunmmaguire Ask GPT-whatever,3564,2023-04-25,201
@farzyness Our meat computers are so slow 😔,3901,2023-04-25,272
The collective mind that is this platform needs more signal &amp; less noise,86153,2023-04-25,8024
@farzyness Collective consciousness,8771,2023-04-25,769
@NoemiKhachian @TuckerCarlson @donlemon Odd Couple (2023 remake),2633,2023-04-25,124
@EdKrassen Are you ever critical of someone on the left?,160621,2023-04-25,9052
"@MuskUniversity Can’t shrink humans, so need big rocket",8449,2023-04-25,621
https://t.co/RRFH30OOvt,288000,2023-04-25,26887
@RampCapitalLLC 💯,2054,2023-04-25,113
@cameron Exactly,6964,2023-04-25,348
@GRDecter We’re running out of “everything is fine!” memes,14057,2023-04-25,1383
@WallStreetSilv @alifarhat79 Literally,6737,2023-04-25,385
@JonErlichman WALL-E has decent runway,5877,2023-04-25,220
"@waitbutwhy Mind-blowing concept when you first hear it. 

There is arguably a practical maximum to digits of pi, which is the number required to divide the universe into cubes of Planck length.",5324,2023-04-25,382
"Censor not, lest ye be censored",154173,2023-04-25,16140
"@KanekoaTheGreat @DavidSacks Exactly right. If we lose freedom of speech, it’s never coming back.

Beware of censorship lest ye censored.",47645,2023-04-25,8425
"@unusual_whales Nice. Just me here @elonmusk too. If something dumb is said, it’s definitely me.",10325,2023-04-25,484
"@ErcXspace @SpaceX Gravity, gravity, 
time to escape 
that for me",5787,2023-04-24,377
Or maybe just X https://t.co/5nCtYbrPfN,61032,2023-04-24,6182
@SawyerMerritt @SpaceX @Tesla Yay!,5041,2023-04-24,239
@all_in_tok @DavidSacks @theallinpod Wow,1739,2023-04-24,109
@ispace_inc Stream on Twitter too!,3030,2023-04-25,285
@zerohedge So bizarre that people and companies don’t use money management (Treasury Bill) checking accounts and earn 4%!,7216,2023-04-25,637
@stillgray Really? 🤔,11166,2023-04-25,978
@_CryMiaRiver @krassenstein @ZubyMusic I repeat my statement that any parents or doctors who do this should go to prison for life,7666,2023-04-25,1256
@krassenstein @ZubyMusic Please correct if wrong @CommunityNotes,2246,2023-04-25,107
"@krassenstein @ZubyMusic Comprehensive study in Sweden shows *increased* suicide!

Death for sex-reassigned persons was higher than for controls of same birth sex, particularly death from suicide. They also had increased risk for suicide attempts and psychiatric inpatient care. 

https://t.co/hIakkEJvJb",8429,2023-04-25,2318
@zerohedge !,2573,2023-04-25,256
@zerohedge Age limit for sterilization by the state or parents too? Or is that too much to hope for.,27735,2023-04-25,3680
"@krassenstein @ZubyMusic What research?

Every child goes through an identity crisis, but leaping to a permanent solution that sterilizes them for life before they could possibly consent for themselves is wrong. Plain and simple.",13143,2023-04-25,2197
"@TheRabbitHole84 We will do our best to support candidates from all parties, so that the public may make the most informed choice. 

Far too much back room dealing seems to be happening.",18045,2023-04-25,2550
@RobertKennedyJr You and other candidates deserve that opportunity!,33605,2023-04-25,2345
@TheBabylonBee 🤣,3112,2023-04-25,163
@tegmark Exactly,1609,2023-04-25,138
@cenkuygur Wow,11685,2023-04-25,629
"@ZubyMusic I agree. This is super messed up.

Mature, consenting adults should do as they wish, so long as they do not harm anyone else, but this child was too young for any kind of consent.",17599,2023-04-25,1818
@CathieDWood Are they simply looking at old data or ignoring the bad data that they have?,4355,2023-04-25,365
@eldsjal @Spotify Congrats!,2077,2023-04-25,152
@HSajwanization @SarwatNasir @HopeMarsMission Congrats UAE 🇦🇪!!,6841,2023-04-25,1003
@alvinfoo Midjourney,4059,2023-04-25,205
"@WallStreetSilv If you weaponize currency enough times, other countries will stop using it",33045,2023-04-25,4909
@CNNPR Interesting,3820,2023-04-25,223
@krassenstein Great points!,1716,2023-04-25,125
Verified accounts are now prioritized,223302,2023-04-25,15334
@johnhackerla That meme rings a bell,6079,2023-04-25,427
"Sometimes, when you learn about something, you think you have it",81293,2023-04-25,8154
@farzyness It’s been a while since had to intervene. 11.4 is good.,3651,2023-04-25,259
@SmashMemez @alx 🎯,2288,2023-04-25,133
"@Not_the_Bee I agree with assisted suicide if someone is a mature adult, but definitely not kids. 

There is a reason we have an age of consent.",26561,2023-04-25,1772
@shaunmmaguire Ask GPT-whatever,3558,2023-04-25,202
@farzyness Our meat computers are so slow 😔,3896,2023-04-25,271
The collective mind that is this platform needs more signal &amp; less noise,86070,2023-04-25,7994
@farzyness Collective consciousness,8768,2023-04-25,767
@NoemiKhachian @TuckerCarlson @donlemon Odd Couple (2023 remake),2630,2023-04-25,124
@EdKrassen Are you ever critical of someone on the left?,160560,2023-04-25,9047
"@MuskUniversity Can’t shrink humans, so need big rocket",8444,2023-04-25,620
https://t.co/RRFH30OOvt,287850,2023-04-25,26834
@RampCapitalLLC 💯,2051,2023-04-25,113
@cameron Exactly,6960,2023-04-25,350
@GRDecter We’re running out of “everything is fine!” memes,14054,2023-04-25,1380
@WallStreetSilv @alifarhat79 Literally,6736,2023-04-25,384
@JonErlichman WALL-E has decent runway,5870,2023-04-25,219
"@waitbutwhy Mind-blowing concept when you first hear it. 

There is arguably a practical maximum to digits of pi, which is the number required to divide the universe into cubes of Planck length.",5322,2023-04-25,382
"Censor not, lest ye be censored",154083,2023-04-25,16110
"@KanekoaTheGreat @DavidSacks Exactly right. If we lose freedom of speech, it’s never coming back.

Beware of censorship lest ye censored.",47640,2023-04-25,8423
"@unusual_whales Nice. Just me here @elonmusk too. If something dumb is said, it’s definitely me.",10300,2023-04-25,483
"@ErcXspace @SpaceX Gravity, gravity, 
time to escape 
that for me",5781,2023-04-24,377
Or maybe just X https://t.co/5nCtYbrPfN,60972,2023-04-24,6169
@SawyerMerritt @SpaceX @Tesla Yay!,5039,2023-04-24,238
@all_in_tok @DavidSacks @theallinpod Wow,1739,2023-04-24,109
@ispace_inc Stream on Twitter too!,3030,2023-04-25,285
@zerohedge So bizarre that people and companies don’t use money management (Treasury Bill) checking accounts and earn 4%!,7219,2023-04-25,638
@stillgray Really? 🤔,11170,2023-04-25,979
@_CryMiaRiver @krassenstein @ZubyMusic I repeat my statement that any parents or doctors who do this should go to prison for life,7671,2023-04-25,1258
@krassenstein @ZubyMusic Please correct if wrong @CommunityNotes,2248,2023-04-25,108
"@krassenstein @ZubyMusic Comprehensive study in Sweden shows *increased* suicide!

Death for sex-reassigned persons was higher than for controls of same birth sex, particularly death from suicide. They also had increased risk for suicide attempts and psychiatric inpatient care. 

https://t.co/hIakkEJvJb",8433,2023-04-25,2319
@zerohedge !,2575,2023-04-25,256
@zerohedge Age limit for sterilization by the state or parents too? Or is that too much to hope for.,27743,2023-04-25,3680
"@krassenstein @ZubyMusic What research?

Every child goes through an identity crisis, but leaping to a permanent solution that sterilizes them for life before they could possibly consent for themselves is wrong. Plain and simple.",13144,2023-04-25,2200
"@TheRabbitHole84 We will do our best to support candidates from all parties, so that the public may make the most informed choice. 

Far too much back room dealing seems to be happening.",18049,2023-04-25,2551
@RobertKennedyJr You and other candidates deserve that opportunity!,33613,2023-04-25,2345
@TheBabylonBee 🤣,3113,2023-04-25,163
@tegmark Exactly,1610,2023-04-25,139
@cenkuygur Wow,11692,2023-04-25,629
"@ZubyMusic I agree. This is super messed up.

Mature, consenting adults should do as they wish, so long as they do not harm anyone else, but this child was too young for any kind of consent.",17608,2023-04-25,1821
@CathieDWood Are they simply looking at old data or ignoring the bad data that they have?,4359,2023-04-25,367
@eldsjal @Spotify Congrats!,2078,2023-04-25,152
@HSajwanization @SarwatNasir @HopeMarsMission Congrats UAE 🇦🇪!!,6848,2023-04-25,1006
@alvinfoo Midjourney,4063,2023-04-25,205
"@WallStreetSilv If you weaponize currency enough times, other countries will stop using it",33057,2023-04-25,4908
@CNNPR Interesting,3822,2023-04-25,232
@krassenstein Great points!,1717,2023-04-25,125
Verified accounts are now prioritized,223499,2023-04-25,15416
@johnhackerla That meme rings a bell,6082,2023-04-25,426
"Sometimes, when you learn about something, you think you have it",81365,2023-04-25,8178
@farzyness It’s been a while since had to intervene. 11.4 is good.,3651,2023-04-25,260
@SmashMemez @alx 🎯,2289,2023-04-25,134
"@Not_the_Bee I agree with assisted suicide if someone is a mature adult, but definitely not kids. 

There is a reason we have an age of consent.",26570,2023-04-25,1771
@shaunmmaguire Ask GPT-whatever,3564,2023-04-25,201
@farzyness Our meat computers are so slow 😔,3902,2023-04-25,272
The collective mind that is this platform needs more signal &amp; less noise,86161,2023-04-25,8024
@farzyness Collective consciousness,8771,2023-04-25,769
@NoemiKhachian @TuckerCarlson @donlemon Odd Couple (2023 remake),2633,2023-04-25,124
@EdKrassen Are you ever critical of someone on the left?,160630,2023-04-25,9052
"@MuskUniversity Can’t shrink humans, so need big rocket",8450,2023-04-25,621
https://t.co/RRFH30OOvt,288024,2023-04-25,26889
@RampCapitalLLC 💯,2054,2023-04-25,113
@cameron Exactly,6964,2023-04-25,348
@GRDecter We’re running out of “everything is fine!” memes,14057,2023-04-25,1383
@WallStreetSilv @alifarhat79 Literally,6737,2023-04-25,385
@JonErlichman WALL-E has decent runway,5878,2023-04-25,220
"@waitbutwhy Mind-blowing concept when you first hear it. 

There is arguably a practical maximum to digits of pi, which is the number required to divide the universe into cubes of Planck length.",5324,2023-04-25,382
"Censor not, lest ye be censored",154179,2023-04-25,16141
"@KanekoaTheGreat @DavidSacks Exactly right. If we lose freedom of speech, it’s never coming back.

Beware of censorship lest ye censored.",47647,2023-04-25,8425
"@unusual_whales Nice. Just me here @elonmusk too. If something dumb is said, it’s definitely me.",10325,2023-04-25,484
"@ErcXspace @SpaceX Gravity, gravity, 
time to escape 
that for me",5787,2023-04-24,377
Or maybe just X https://t.co/5nCtYbrPfN,61034,2023-04-24,6183
@SawyerMerritt @SpaceX @Tesla Yay!,5041,2023-04-24,239
@all_in_tok @DavidSacks @theallinpod Wow,1740,2023-04-24,109
@ispace_inc Stream on Twitter too!,3031,2023-04-25,285
@zerohedge So bizarre that people and companies don’t use money management (Treasury Bill) checking accounts and earn 4%!,7223,2023-04-25,638
@stillgray Really? 🤔,11175,2023-04-25,979
@_CryMiaRiver @krassenstein @ZubyMusic I repeat my statement that any parents or doctors who do this should go to prison for life,7675,2023-04-25,1258
@TheBabylonBee 🤣,3123,2023-04-25,164
@krassenstein @ZubyMusic Please correct if wrong @CommunityNotes,2248,2023-04-25,108
"@krassenstein @ZubyMusic Comprehensive study in Sweden shows *increased* suicide!

Death for sex-reassigned persons was higher than for controls of same birth sex, particularly death from suicide. They also had increased risk for suicide attempts and psychiatric inpatient care. 

https://t.co/hIakkEJvJb",8437,2023-04-25,2319
@zerohedge !,2575,2023-04-25,256
@zerohedge Age limit for sterilization by the state or parents too? Or is that too much to hope for.,27750,2023-04-25,3681
"@krassenstein @ZubyMusic What research?

Every child goes through an identity crisis, but leaping to a permanent solution that sterilizes them for life before they could possibly consent for themselves is wrong. Plain and simple.",13150,2023-04-25,2201
"@TheRabbitHole84 We will do our best to support candidates from all parties, so that the public may make the most informed choice. 

Far too much back room dealing seems to be happening.",18053,2023-04-25,2551
@RobertKennedyJr You and other candidates deserve that opportunity!,33622,2023-04-25,2345
@TheBabylonBee 🤣,3113,2023-04-25,163
@tegmark Exactly,1610,2023-04-25,139
@cenkuygur Wow,11694,2023-04-25,629
"@ZubyMusic I agree. This is super messed up.

Mature, consenting adults should do as they wish, so long as they do not harm anyone else, but this child was too young for any kind of consent.",17614,2023-04-25,1821
@CathieDWood Are they simply looking at old data or ignoring the bad data that they have?,4359,2023-04-25,367
@eldsjal @Spotify Congrats!,2078,2023-04-25,152
@HSajwanization @SarwatNasir @HopeMarsMission Congrats UAE 🇦🇪!!,6849,2023-04-25,1006
@alvinfoo Midjourney,4062,2023-04-25,205
"@WallStreetSilv If you weaponize currency enough times, other countries will stop using it",33059,2023-04-25,4908
@CNNPR Interesting,3822,2023-04-25,232
@krassenstein Great points!,1717,2023-04-25,125
Verified accounts are now prioritized,223511,2023-04-25,15417
@johnhackerla That meme rings a bell,6082,2023-04-25,426
"Sometimes, when you learn about something, you think you have it",81369,2023-04-25,8180
@farzyness It’s been a while since had to intervene. 11.4 is good.,3651,2023-04-25,260
@SmashMemez @alx 🎯,2289,2023-04-25,134
"@Not_the_Bee I agree with assisted suicide if someone is a mature adult, but definitely not kids. 

There is a reason we have an age of consent.",26572,2023-04-25,1771
@shaunmmaguire Ask GPT-whatever,3564,2023-04-25,201
@farzyness Our meat computers are so slow 😔,3903,2023-04-25,272
The collective mind that is this platform needs more signal &amp; less noise,86165,2023-04-25,8024
@farzyness Collective consciousness,8773,2023-04-25,769
@NoemiKhachian @TuckerCarlson @donlemon Odd Couple (2023 remake),2633,2023-04-25,124
@EdKrassen Are you ever critical of someone on the left?,160640,2023-04-25,9053
"@MuskUniversity Can’t shrink humans, so need big rocket",8452,2023-04-25,621
https://t.co/RRFH30OOvt,288052,2023-04-25,26897
@RampCapitalLLC 💯,2054,2023-04-25,113
@cameron Exactly,6963,2023-04-25,348
@GRDecter We’re running out of “everything is fine!” memes,14057,2023-04-25,1383
@WallStreetSilv @alifarhat79 Literally,6738,2023-04-25,385
@JonErlichman WALL-E has decent runway,5878,2023-04-25,220
"@waitbutwhy Mind-blowing concept when you first hear it. 

There is arguably a practical maximum to digits of pi, which is the number required to divide the universe into cubes of Planck length.",5324,2023-04-25,382
"Censor not, lest ye be censored",154188,2023-04-25,16143
"@KanekoaTheGreat @DavidSacks Exactly right. If we lose freedom of speech, it’s never coming back.

Beware of censorship lest ye censored.",47649,2023-04-25,8425
"@unusual_whales Nice. Just me here @elonmusk too. If something dumb is said, it’s definitely me.",10325,2023-04-25,484
"@ErcXspace @SpaceX Gravity, gravity, 
time to escape 
that for me",5787,2023-04-24,377
Or maybe just X https://t.co/5nCtYbrPfN,61037,2023-04-24,6183
@SawyerMerritt @SpaceX @Tesla Yay!,5041,2023-04-24,239
@all_in_tok @DavidSacks @theallinpod Wow,1740,2023-04-24,109
@ispace_inc Stream on Twitter too!,3033,2023-04-25,286
@zerohedge So bizarre that people and companies don’t use money management (Treasury Bill) checking accounts and earn 4%!,7230,2023-04-25,638
@stillgray Really? 🤔,11183,2023-04-25,978
@_CryMiaRiver @krassenstein @ZubyMusic I repeat my statement that any parents or doctors who do this should go to prison for life,7680,2023-04-25,1261
@krassenstein @ZubyMusic Please correct if wrong @CommunityNotes,2247,2023-04-25,107
"@krassenstein @ZubyMusic Comprehensive study in Sweden shows *increased* suicide!

Death for sex-reassigned persons was higher than for controls of same birth sex, particularly death from suicide. They also had increased risk for suicide attempts and psychiatric inpatient care. 

https://t.co/hIakkEJvJb",8441,2023-04-25,2321
@zerohedge !,2576,2023-04-25,256
@zerohedge Age limit for sterilization by the state or parents too? Or is that too much to hope for.,27754,2023-04-25,3681
"@krassenstein @ZubyMusic What research?

Every child goes through an identity crisis, but leaping to a permanent solution that sterilizes them for life before they could possibly consent for themselves is wrong. Plain and simple.",13159,2023-04-25,2201
"@TheRabbitHole84 We will do our best to support candidates from all parties, so that the public may make the most informed choice. 

Far too much back room dealing seems to be happening.",18062,2023-04-25,2550
@RobertKennedyJr You and other candidates deserve that opportunity!,33626,2023-04-25,2345
@TheBabylonBee 🤣,3112,2023-04-25,164
@tegmark Exactly,1609,2023-04-25,138
@cenkuygur Wow,11693,2023-04-25,629
"@ZubyMusic I agree. This is super messed up.

Mature, consenting adults should do as they wish, so long as they do not harm anyone else, but this child was too young for any kind of consent.",17615,2023-04-25,1819
@CathieDWood Are they simply looking at old data or ignoring the bad data that they have?,4357,2023-04-25,365
@eldsjal @Spotify Congrats!,2077,2023-04-25,152
@HSajwanization @SarwatNasir @HopeMarsMission Congrats UAE 🇦🇪!!,6847,2023-04-25,1003
@alvinfoo Midjourney,4063,2023-04-25,206
"@WallStreetSilv If you weaponize currency enough times, other countries will stop using it",33051,2023-04-25,4909
@CNNPR Interesting,3820,2023-04-25,223
@krassenstein Great points!,1716,2023-04-25,125
Verified accounts are now prioritized,223406,2023-04-25,15339
@johnhackerla That meme rings a bell,6080,2023-04-25,427
"Sometimes, when you learn about something, you think you have it",81316,2023-04-25,8160
@farzyness It’s been a while since had to intervene. 11.4 is good.,3651,2023-04-25,259
@SmashMemez @alx 🎯,2288,2023-04-25,133
"@Not_the_Bee I agree with assisted suicide if someone is a mature adult, but definitely not kids. 

There is a reason we have an age of consent.",26572,2023-04-25,1772
@shaunmmaguire Ask GPT-whatever,3559,2023-04-25,202
@farzyness Our meat computers are so slow 😔,3898,2023-04-25,271
The collective mind that is this platform needs more signal &amp; less noise,86088,2023-04-25,7996
@farzyness Collective consciousness,8772,2023-04-25,767
@NoemiKhachian @TuckerCarlson @donlemon Odd Couple (2023 remake),2631,2023-04-25,124
@EdKrassen Are you ever critical of someone on the left?,160601,2023-04-25,9050
"@MuskUniversity Can’t shrink humans, so need big rocket",8447,2023-04-25,620
https://t.co/RRFH30OOvt,287936,2023-04-25,26845
@RampCapitalLLC 💯,2051,2023-04-25,113
@cameron Exactly,6960,2023-04-25,350
@GRDecter We’re running out of “everything is fine!” memes,14055,2023-04-25,1380
@WallStreetSilv @alifarhat79 Literally,6740,2023-04-25,384
@JonErlichman WALL-E has decent runway,5872,2023-04-25,219
"@waitbutwhy Mind-blowing concept when you first hear it. 

There is arguably a practical maximum to digits of pi, which is the number required to divide the universe into cubes of Planck length.",5322,2023-04-25,382
"Censor not, lest ye be censored",154109,2023-04-25,16114
"@KanekoaTheGreat @DavidSacks Exactly right. If we lose freedom of speech, it’s never coming back.

Beware of censorship lest ye censored.",47653,2023-04-25,8423
"@unusual_whales Nice. Just me here @elonmusk too. If something dumb is said, it’s definitely me.",10301,2023-04-25,483
"@ErcXspace @SpaceX Gravity, gravity, 
time to escape 
that for me",5781,2023-04-24,377
Or maybe just X https://t.co/5nCtYbrPfN,60983,2023-04-24,6170
@SawyerMerritt @SpaceX @Tesla Yay!,5039,2023-04-24,238
@all_in_tok @DavidSacks @theallinpod Wow,1739,2023-04-24,109
@ispace_inc Stream on Twitter too!,3039,2023-04-25,287
@zerohedge So bizarre that people and companies don’t use money management (Treasury Bill) checking accounts and earn 4%!,7235,2023-04-25,638
@stillgray Really? 🤔,11203,2023-04-25,981
@_CryMiaRiver @krassenstein @ZubyMusic I repeat my statement that any parents or doctors who do this should go to prison for life,7699,2023-04-25,1266
@krassenstein @ZubyMusic Please correct if wrong @CommunityNotes,2255,2023-04-25,107
"@krassenstein @ZubyMusic Comprehensive study in Sweden shows *increased* suicide!

Death for sex-reassigned persons was higher than for controls of same birth sex, particularly death from suicide. They also had increased risk for suicide attempts and psychiatric inpatient care. 

https://t.co/hIakkEJvJb",8454,2023-04-25,2328
@zerohedge !,2578,2023-04-25,256
@zerohedge Age limit for sterilization by the state or parents too? Or is that too much to hope for.,27773,2023-04-25,3682
"@krassenstein @ZubyMusic What research?

Every child goes through an identity crisis, but leaping to a permanent solution that sterilizes them for life before they could possibly consent for themselves is wrong. Plain and simple.",13174,2023-04-25,2203
"@TheRabbitHole84 We will do our best to support candidates from all parties, so that the public may make the most informed choice. 

Far too much back room dealing seems to be happening.",18083,2023-04-25,2550
@RobertKennedyJr You and other candidates deserve that opportunity!,33648,2023-04-25,2348
@TheBabylonBee 🤣,3114,2023-04-25,164
@tegmark Exactly,1609,2023-04-25,138
@cenkuygur Wow,11704,2023-04-25,630
"@ZubyMusic I agree. This is super messed up.

Mature, consenting adults should do as they wish, so long as they do not harm anyone else, but this child was too young for any kind of consent.",17630,2023-04-25,1821
@CathieDWood Are they simply looking at old data or ignoring the bad data that they have?,4358,2023-04-25,365
@eldsjal @Spotify Congrats!,2077,2023-04-25,152
@HSajwanization @SarwatNasir @HopeMarsMission Congrats UAE 🇦🇪!!,6856,2023-04-25,1004
@alvinfoo Midjourney,4066,2023-04-25,206
"@WallStreetSilv If you weaponize currency enough times, other countries will stop using it",33058,2023-04-25,4909
@CNNPR Interesting,3820,2023-04-25,223
@krassenstein Great points!,1716,2023-04-25,125
Verified accounts are now prioritized,223500,2023-04-25,15343
@johnhackerla That meme rings a bell,6081,2023-04-25,427
"Sometimes, when you learn about something, you think you have it",81344,2023-04-25,8161
@farzyness It’s been a while since had to intervene. 11.4 is good.,3654,2023-04-25,260
@SmashMemez @alx 🎯,2290,2023-04-25,133
"@Not_the_Bee I agree with assisted suicide if someone is a mature adult, but definitely not kids. 

There is a reason we have an age of consent.",26588,2023-04-25,1775
@shaunmmaguire Ask GPT-whatever,3559,2023-04-25,202
@farzyness Our meat computers are so slow 😔,3901,2023-04-25,271
The collective mind that is this platform needs more signal &amp; less noise,86111,2023-04-25,7997
@farzyness Collective consciousness,8776,2023-04-25,767
@NoemiKhachian @TuckerCarlson @donlemon Odd Couple (2023 remake),2631,2023-04-25,124
@EdKrassen Are you ever critical of someone on the left?,160661,2023-04-25,9055
"@MuskUniversity Can’t shrink humans, so need big rocket",8448,2023-04-25,620
https://t.co/RRFH30OOvt,288044,2023-04-25,26859
@RampCapitalLLC 💯,2051,2023-04-25,113
@cameron Exactly,6962,2023-04-25,350
@GRDecter We’re running out of “everything is fine!” memes,14055,2023-04-25,1380
@WallStreetSilv @alifarhat79 Literally,6740,2023-04-25,384
@JonErlichman WALL-E has decent runway,5872,2023-04-25,219
"@waitbutwhy Mind-blowing concept when you first hear it. 

There is arguably a practical maximum to digits of pi, which is the number required to divide the universe into cubes of Planck length.",5325,2023-04-25,382
"Censor not, lest ye be censored",154155,2023-04-25,16116
"@KanekoaTheGreat @DavidSacks Exactly right. If we lose freedom of speech, it’s never coming back.

Beware of censorship lest ye censored.",47662,2023-04-25,8424
"@unusual_whales Nice. Just me here @elonmusk too. If something dumb is said, it’s definitely me.",10305,2023-04-25,484
"@ErcXspace @SpaceX Gravity, gravity, 
time to escape 
that for me",5781,2023-04-24,377
Or maybe just X https://t.co/5nCtYbrPfN,60991,2023-04-24,6170
@tegmark Exactly,1614,2023-04-25,138
@all_in_tok @DavidSacks @theallinpod Wow,1739,2023-04-24,109
@ispace_inc Stream on Twitter too!,3048,2023-04-25,287
@zerohedge So bizarre that people and companies don’t use money management (Treasury Bill) checking accounts and earn 4%!,7248,2023-04-25,639
@stillgray Really? 🤔,11220,2023-04-25,983
@_CryMiaRiver @krassenstein @ZubyMusic I repeat my statement that any parents or doctors who do this should go to prison for life,7709,2023-04-25,1269
@krassenstein @ZubyMusic Please correct if wrong @CommunityNotes,2263,2023-04-25,109
"@krassenstein @ZubyMusic Comprehensive study in Sweden shows *increased* suicide!

Death for sex-reassigned persons was higher than for controls of same birth sex, particularly death from suicide. They also had increased risk for suicide attempts and psychiatric inpatient care. 

https://t.co/hIakkEJvJb",8485,2023-04-25,2337
@zerohedge !,2582,2023-04-25,256
@zerohedge Age limit for sterilization by the state or parents too? Or is that too much to hope for.,27800,2023-04-25,3683
"@krassenstein @ZubyMusic What research?

Every child goes through an identity crisis, but leaping to a permanent solution that sterilizes them for life before they could possibly consent for themselves is wrong. Plain and simple.",13207,2023-04-25,2211
"@TheRabbitHole84 We will do our best to support candidates from all parties, so that the public may make the most informed choice. 

Far too much back room dealing seems to be happening.",18105,2023-04-25,2552
@RobertKennedyJr You and other candidates deserve that opportunity!,33686,2023-04-25,2351
@TheBabylonBee 🤣,3115,2023-04-25,164
@tegmark Exactly,1611,2023-04-25,139
@cenkuygur Wow,11721,2023-04-25,632
"@ZubyMusic I agree. This is super messed up.

Mature, consenting adults should do as they wish, so long as they do not harm anyone else, but this child was too young for any kind of consent.",17651,2023-04-25,1823
@CathieDWood Are they simply looking at old data or ignoring the bad data that they have?,4366,2023-04-25,367
@eldsjal @Spotify Congrats!,2078,2023-04-25,152
@HSajwanization @SarwatNasir @HopeMarsMission Congrats UAE 🇦🇪!!,6866,2023-04-25,1007
@alvinfoo Midjourney,4071,2023-04-25,206
"@WallStreetSilv If you weaponize currency enough times, other countries will stop using it",33087,2023-04-25,4911
@CNNPR Interesting,3825,2023-04-25,232
@krassenstein Great points!,1717,2023-04-25,125
Verified accounts are now prioritized,223815,2023-04-25,15430
@johnhackerla That meme rings a bell,6085,2023-04-25,427
"Sometimes, when you learn about something, you think you have it",81445,2023-04-25,8185
@farzyness It’s been a while since had to intervene. 11.4 is good.,3656,2023-04-25,261
@SmashMemez @alx 🎯,2291,2023-04-25,134
"@Not_the_Bee I agree with assisted suicide if someone is a mature adult, but definitely not kids. 

There is a reason we have an age of consent.",26611,2023-04-25,1774
@shaunmmaguire Ask GPT-whatever,3566,2023-04-25,201
@farzyness Our meat computers are so slow 😔,3908,2023-04-25,272
The collective mind that is this platform needs more signal &amp; less noise,86226,2023-04-25,8032
